filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00000.wav,0.349943221,0.13022463,1784.420446,2002.650192,3806.485316,0.083066391,-113.5967484,121.5572968,-19.15882492,42.35102844,-6.376458168,18.6188755,-13.69791222,15.3446312,-12.28526688,10.98049164,-8.324324608,8.810668945,-3.667368174,5.751690865,-5.162762642,0.750947773,-1.691937566,-0.4099527,-2.300208807,1.219928503,blues
blues.00001.wav,0.340983123,0.095918424,1529.835316,,3548.820207,0.056044257,-207.5567932,124.0067215,8.930560112,35.87468338,2.916036844,21.52372551,-8.554703712,23.35867119,-10.10361671,11.90374374,-5.560387611,5.376802921,-2.23911953,4.216963291,-6.012273312,0.936109602,-0.716537237,0.293875962,-0.287430882,0.531572819,blues
blues.00002.wav,0.363602877,0.175573036,1552.481958,1747.165985,3040.514948,0.076300748,-90.7543869,140.4598999,-29.10996819,31.68901253,-13.98703575,25.75476265,-13.64958477,11.62927055,-11.7805891,9.706442833,-13.12311077,5.789265156,-8.905223846,-1.08371985,-9.218358994,2.455806017,-7.726901054,-1.815722942,-3.433434248,-2.226821423,blues
blues.00003.wav,0.404778987,0.141191185,1070.119953,1596.333948,2185.028454,0.033308944,-199.4311523,150.0992126,5.647593021,26.87192726,1.754461646,14.23834515,-4.830882549,9.297966003,-0.75774163,8.149011612,-3.196314096,6.087676525,-2.476420879,-1.07389009,-2.874777794,0.78097707,-3.31693244,0.637981653,-0.619690001,-3.408233404,blues
blues.00004.wav,0.308590114,0.091563217,1835.494603,1748.362448,3580.945013,0.101500142,-160.266037,126.1988068,-35.60544968,22.15330124,-32.48926926,10.8645134,-23.35792923,0.503117979,-11.80583191,1.206804991,-13.0838213,-2.80638361,-6.934123039,-7.558618069,-9.173553467,-4.512164593,-5.453538418,-0.924160719,-4.409332752,-11.70378113,blues
blues.00005.wav,0.302346438,0.103467584,1831.942368,1729.483241,3480.937285,0.09403987,-177.8690491,118.196907,-17.55067444,30.75863457,-21.74274635,11.90380287,-20.73424721,3.180597544,-8.583483696,-0.936487257,-11.77627468,-2.420614243,-9.339365005,-9.939324379,-3.909892082,-5.570623875,-1.839023232,-2.778420448,-3.04686594,-8.115808487,blues
blues.00006.wav,0.291308016,0.141795814,1459.078483,1388.913312,2795.616429,0.073027903,-190.1494598,130.2969513,-36.3441391,33.01305008,11.1069355,-0.615158379,-20.86200905,0.270091116,-6.489759922,-5.517093182,-7.840327263,-3.125678301,-6.593118191,-9.942267418,-6.537224293,-10.06475353,-10.91217136,-6.972477913,-3.44903326,-6.495510101,blues
blues.00007.wav,0.307921052,0.131785482,1451.754147,1577.369917,2955.348796,0.061435003,-179.3954315,136.4592438,-26.65636253,39.98802567,5.28967762,10.92442799,-20.56188965,8.513765335,-11.35690975,-3.469077349,-8.41455555,-6.954826355,-3.544535637,-8.051241875,-8.959536552,-8.424336433,-10.55888367,-10.78815842,-4.693748474,-8.638612747,blues
blues.00008.wav,0.409037143,0.142438099,1719.213163,2031.643884,3781.318802,0.06402758,-121.3610229,122.5131073,-14.74212837,46.14344406,-8.165332794,20.17652512,-19.17247581,23.05561638,-11.83050251,21.17700577,-6.721189976,7.010944843,-12.74183083,5.066004276,-5.175477505,-1.444024324,-7.037070274,2.697451591,3.409808636,-2.698352814,blues
blues.00009.wav,0.274009228,0.081352018,1817.516386,1973.73907,3944.451148,0.079215318,-213.1808014,115.1527939,-11.71626663,39.02946854,-20.3527565,13.08240509,-9.173481941,9.016148567,-14.0979147,4.278178215,-6.039595127,3.784771442,0.225667566,-5.113637447,-0.413064212,-1.184536934,-1.920714736,-2.293727636,2.891265869,-4.233204365,blues
